[[712240653481152512], 1] 1
[[712253862485356544], 1] 1
[[712300689981095936], 1] 1
[[712327665651478529], 1] 1
[[712335763292073985], 1] 1
[[712348435395969025], 1] 1
[[712412740917178369], 1] 1
[[712436196237025280], 1] 1
[[712450083174744064], 1] 1
[[712461091226443776], 1] 1
[[712486246489202689], 1] 1
[[712605945260609536], 1] 1
[[712643918060527616], 1] 1
[[712662600027398144], 1] 1
[[712808149846265856], 1] 1
[[712821648827744256], 1] 1
[[712878967104020480], 1] 1
[[712893963951333376], 1] 1
[[712925936379904003], 1] 1
[[712940721137983488], 1] 1
[[713006689138532352], 1] 1
[[713045209915998208], 1] 1
[[713049680632877056], 1] 1
[[713074157009768448], 1] 1
[[713096986245918720], 1] 1
[[713113678686646272], 1] 1
[[713146330433069057], 1] 1
[[713146330433069057], 1] 1
[[713148185561182208], 1] 1
[[713148185561182208], 1] 1
[[713148185561182208], 1] 1
[[713151177203036160], 1] 1
[[713158752229195776], 1] 1
[[713161010136231936], 1] 1
[[713164858422722561], 1] 1
[[713174952250204160], 1] 1
[[713202530759475200], 1] 1
[[713203030670192640], 1] 1
[[713213593479544832], 1] 1
[[713257079343984640], 1] 1
[[713263261081288704], 1] 1
[[713267823884111872], 1] 1
[[713287222653399041], 1] 1
[[713306663193694209], 1] 1
[[713332848023896064], 1] 1
[[713351625109209088], 1] 1
[[713353917044797440], 1] 1
[[713399246544891904], 1] 1
[[713409787912826881], 1] 1
[[713423343769280513], 1] 1
[[713439817887928320], 1] 1
[[713462799939276800], 1] 1
[[713524583656067072], 1] 1
[[713528157081481216], 1] 1
[[713531165068623873], 1] 1
[[713537207282216960], 1] 1
[[713585044946862080], 1] 1
[[713603460248301568], 1] 1
[[713609519771725824], 1] 1
[[713614084441133056], 1] 1
[[713627953351897088], 1] 1
[[713663443149131776], 1] 1
[[713695837927448576], 1] 1
[[713712773302263809], 1] 1
[[713757331993919488], 1] 1
[[713757438067912704], 1] 1
[[713758154085900288], 1] 1
[[713762084945670144], 1] 1
[[713762085268656128], 1] 1
[[713763723299713025], 1] 1
[[713767707188072448], 1] 1
[[713780824504557568], 1] 1
[[713820546031443968], 1] 1
[[713839769546047488], 1] 1
[[713846108682891264], 1] 1
[[713846328728616960], 1] 1
[[713897158433484800], 1] 1
[[713909295365103617], 1] 1
[[713910665887485952], 1] 1
[[713914705333592064], 1] 1
[[713928380710825984], 1] 1
[[713934972424290304], 1] 1
[[713953212277981185], 1] 1
[[713965182033199105], 1] 1
[[713965219152850944], 1] 1
[[714003801150136321], 1] 1
[[714019205100740608], 1] 1
[[714027027129581568], 1] 1
[[714035782785359872], 1] 1
[[714091361381777408], 1] 1
[[714187053286559744], 1] 1
[[714195888734924800], 1] 1
[[714205536980480000], 1] 1
[[714237833116975104], 1] 1
[[714262012046356480], 1] 1
[[714270474713169920], 1] 1
[[714295896733827073], 1] 1
[[714362351567306752], 1] 1
[[714379343665868800], 1] 1
[[714386226439184384], 1] 1
[[714390648036597760], 1] 1
[[714447211376025601], 1] 1
[[714447211376025601], 1] 1
[[714447211376025601], 1] 1
[[714453431126204417], 1] 1
[[714455728052785156], 1] 1
[[714462802027655168], 1] 1
[[714465922451308544], 1] 1
[[714494076675039232], 1] 1
[[714499865183698944], 1] 1
[[714502165578911745], 1] 1
[[714508135554277376], 1] 1
[[714519458325245952], 1] 1
[[714527227707138048], 1] 1
[[714527227707138048], 1] 1
[[714536464437084161], 1] 1
[[714538349122482176], 1] 1
[[714541809116925952], 1] 1
[[714547715791654912], 1] 1
[[714562733245599744], 1] 1
[[714564366973214725], 1] 1
[[714577448029978624], 1] 1
[[714587860725325824], 1] 1
[[714591311194636288], 1] 1
[[714602217357991936], 1] 1
[[714609038307164160], 1] 1
[[714617546020794369], 1] 1
[[714617620239138817], 1] 1
[[714618436605853697], 1] 1
[[714623007566782464], 1] 1
[[714626358857637890], 1] 1
[[714629010483863552], 1] 1
[[714641035859656704], 1] 1
[[714654325662990336], 1] 1
[[714656576796123136], 1] 1
[[714663239527825408], 1] 1
[[714669489858732037], 1] 1
[[714674739827052544], 1] 1
[[714683071723933696], 1] 1
[[714689920510636033], 1] 1
[[714699849048985601], 1] 1
[[714699849048985601], 1] 1
[[714699903352569856], 1] 1
[[714700637787856896], 1] 1
[[714716239080329217], 1] 1
[[714718748452773888], 1] 1
[[714725335976296448], 1] 1
[[714727280363323392], 1] 1
[[714728658724892672], 1] 1
[[714740309293404163], 1] 1
[[714742461692776448], 1] 1
[[714749127742136321], 1] 1
[[714762215514062848], 1] 1
[[714771904859607041], 1] 1
[[714808630285967361], 1] 1
[[714809656573472772], 1] 1
[[714809815084638208], 1] 1
[[714810251493699584], 1] 1
[[714814763381952512], 1] 1
[[714832016534028291], 1] 1
[[714833854616313857], 1] 1
[[714846774305775620], 1] 1
[[714850417352507392], 1] 1
[[714857617462530048], 1] 1
[[714857617462530048], 1] 1
[[714874912364699650], 1] 1
[[714877098775724032], 1] 1
[[714890298283921408], 1] 1
[[714890448582615040], 1] 1
[[714890448582615040], 1] 1
[[714890448582615040], 1] 1
[[714890448582615040], 1] 1
[[714890448582615040], 1] 1
[[714890448582615040], 1] 1
[[714907072706383872], 1] 1
[[714910875967209473], 1] 1
[[714912148351111168], 1] 1
[[714913027716321280], 1] 1
[[714915323670085633], 1] 1
[[714916272736243713], 1] 1
[[714929678360780800], 1] 1
[[714931386721943552], 1] 1
[[714934982163075072], 1] 1
[[714936468746084352], 1] 1
[[714938165740642304], 1] 1
[[714938809654218752], 1] 1
[[714942564000993280], 1] 1
[[714943940659548160], 1] 1
[[714945346929954820], 1] 1
[[714950641895006209], 1] 1
[[714953046938136577], 1] 1
[[714954974111928321], 1] 1
[[714957174867410944], 1] 1
[[714957174867410944], 1] 1
[[714957174867410944], 1] 1
[[714957174867410944], 1] 1
[[714957174867410944], 1] 1
[[714957174867410944], 1] 1
[[714957174867410944], 1] 1
[[714957174867410944], 1] 1
[[714959983050428417], 1] 1
[[714960370943848449], 1] 1
[[714962117380714496], 1] 1
[[714966003906641920], 1] 1
[[714966745191030788], 1] 1
[[714969162393587713], 1] 1
[[714972882879782913], 1] 1
[[714973092464951296], 1] 1
[[714980970047221761], 1] 1
[[714992492559532032], 1] 1
[[714993949094445056], 1] 1
[[714994289378328576], 1] 1
[[714994382504505344], 1] 1
[[714995707866923008], 1] 1
[[714999525836988417], 1] 1
[[715013912308162560], 1] 1
[[715015625194737664], 1] 1
[[715022565929062400], 1] 1
[[715025318592045057], 1] 1
[[715025640798425090], 1] 1
[[715029047634296832], 1] 1
[[715038140684222469], 1] 1
[[715039475139784704], 1] 1
[[715039475139784704], 1] 1
[[715045166109888512], 1] 1
[[715050314588680192], 1] 1
[[715056293266980864], 1] 1
[[715056438989758464], 1] 1
[[715056446082256897], 1] 1
[[715057684987387904], 1] 1
[[715058802819776512], 1] 1
[[715059379884724225], 1] 1
[[715063334249349120], 1] 1
[[715069837349769216], 1] 1
[[715073316109705216], 1] 1
[[715076897739116544], 1] 1
[[715081280036085761], 1] 1
[[715082269271072768], 1] 1
[[715082645114191873], 1] 1
[[715083063340830720], 1] 1
[[715088321005879296], 1] 1
[[715094343246172160], 1] 1
[[715095221814632450], 1] 1
[[715100018407907328], 1] 1
[[715112706454499328], 1] 1
[[715124079343185921], 1] 1
[[715126222305509376], 1] 1
[[715126924058624000], 1] 1
[[715127034435866624], 1] 1
[[715129775703007232], 1] 1
[[715135905854582784], 1] 1
[[715138777983811584], 1] 1
[[715142275777617920], 1] 1
[[715143765351116802], 1] 1
[[715149145837854721], 1] 1
[[715152477889409025], 1] 1
[[715152929225748480], 1] 1
[[715153336899600384], 1] 1
[[715159170278789121], 1] 1
[[715162266828582912], 1] 1
[[715163974682030081], 1] 1
[[715166227082117120], 1] 1
[[715169258511212544], 1] 1
[[715169415591890945], 1] 1
[[715174216769769472], 1] 1
[[715175436611813376], 1] 1
[[715179332679962624], 1] 1
[[715182238627926020], 1] 1
[[715182238627926020], 1] 1
[[715182694934704128], 1] 1
[[715184447092449281], 1] 1
[[715186988777865216], 1] 1
[[715192170827780096], 1] 1
[[715195807201366016], 1] 1
[[715198804593496064], 1] 1
[[715201032570200064], 1] 1
[[715203269723885569], 1] 1
[[715203718078050305], 1] 1
[[715204076854583296], 1] 1
[[715209388877721601], 1] 1
[[715211019153309696], 1] 1
[[715213867635310595], 1] 1
[[715213867635310595], 1] 1
[[715214620080873472], 1] 1
[[715214643518697473], 1] 1
[[715217529363308545], 1] 1
[[715219332620541952], 1] 1
[[715222250811592704], 1] 1
[[715223967192080384], 1] 1
[[715229386300071937], 1] 1
[[715230606993522688], 1] 1
[[715233366941896704], 1] 1
[[715233385321377793], 1] 1
[[715239698076196864], 1] 1
[[715240283118702592], 1] 1
[[715241419850584064], 1] 1
[[715244461815676929], 1] 1
[[715244859976716288], 1] 1
[[715246980537192448], 1] 1
[[715249663746514945], 1] 1
[[715250055003955200], 1] 1
[[715251982559158272], 1] 1
[[715252728587530240], 1] 1
[[715253313441124352], 1] 1
[[715254208627388416], 1] 1
[[715255765406121985], 1] 1
[[715256642200334337], 1] 1
[[715258181677621248], 1] 1
[[715260243115175936], 1] 1
[[715260445360128000], 1] 1
[[715265338561142784], 1] 1
[[715265338561142784], 1] 1
[[715267753389608964], 1] 1
[[715274747236466688], 1] 1
[[715275682981421056], 1] 1
[[715278848913334272], 1] 1
[[715278848913334272], 1] 1
[[715278848913334272], 1] 1
[[715279417681940480], 1] 1
[[715279450753994753], 1] 1
[[715279573030547456], 1] 1
[[715280464555024384], 1] 1
[[715284966536511489], 1] 1
[[715285208812027904], 1] 1
[[715286558430072832], 1] 1
[[715287927274676224], 1] 1
[[715289888799633408], 1] 1
[[715291108641734656], 1] 1
[[715291362392809473], 1] 1
[[715292035268227075], 1] 1
[[715292106433175552], 1] 1
[[715292422306193408], 1] 1
[[715294868004802560], 1] 1
[[715296834776928257], 1] 1
[[715299988251631616], 1] 1
[[715301018070884357], 1] 1
[[715301852284198912], 1] 1
[[715304644747067392], 1] 1
[[715308216192643072], 1] 1
[[715308278176026624], 1] 1
[[715308359000399873], 1] 1
[[715308781819695104], 1] 1
[[715313830486614016], 1] 1
[[715315909183741952], 1] 1
[[715315909183741952], 1] 1
[[715319977117663232], 1] 1
[[715322140958924802], 1] 1
[[715322803449368576], 1] 1
[[715323001990873093], 1] 1
[[715323420406222849], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
[[715324014290272256], 1] 1
